model_name,video_id,prompt,CLIP Score,X-CLIP Score,BLIP-BLEU,T2VScore-A (GPT-4V)
floor33,0,"2 Dog and a whale, ocean adventure",24.60725784,9.034553528,0.25,0.6
gen2,0,"2 Dog and a whale, ocean adventure",32.17697525,8.421361923,0.428571428,0.8
modelscope,0,"2 Dog and a whale, ocean adventure",29.26752472,12.3264339,0.25,0.6
pika,0,"2 Dog and a whale, ocean adventure",23.33704758,12.33865844,0.181818182,0.4
zeroscope,0,"2 Dog and a whale, ocean adventure",20.30451393,8.836785674,0.125,0.2
floor33,1,Teddy bear and 3 real bear,21.96209526,9.128196239,0.151632665,0.25
gen2,1,Teddy bear and 3 real bear,23.89567375,9.248734792,1.40E-16,0.25
modelscope,1,Teddy bear and 3 real bear,23.10194397,12.69383502,2.03E-16,0
pika,1,Teddy bear and 3 real bear,21.65723991,9.038737191,1.22E-16,0.25
zeroscope,1,Teddy bear and 3 real bear,21.15131378,8.162493229,1.22E-16,0.25
floor33,2,goldfish in glass,24.33513832,12.96412659,0.222222222,0.333333333
gen2,2,goldfish in glass,19.10738373,13.41079569,0.333333333,0
modelscope,2,goldfish in glass,25.2273407,16.81551552,0.333333333,0.333333333
pika,2,goldfish in glass,22.4164505,14.85445574,1.09E-16,0.666666667
zeroscope,2,goldfish in glass,24.13706207,15.17114735,0.111111111,0.333333333
floor33,3,A small bird sits atop a blooming flower stem.,19.48832703,8.956146717,0.110312113,0.285714286
gen2,3,A small bird sits atop a blooming flower stem.,27.56764984,11.24072965,0.444444444,1
modelscope,3,A small bird sits atop a blooming flower stem.,27.2977562,13.84443378,0.330936338,0.857142857
pika,3,A small bird sits atop a blooming flower stem.,27.64382935,15.71733612,0.333333333,0.857142857
zeroscope,3,A small bird sits atop a blooming flower stem.,25.56745148,16.22025442,0.222222222,0.714285714
floor33,4,A fluffy teddy bear sits on a bed of soft pillows surrounded by children's toys.,28.66449165,16.99547768,0.395724886,0.833333333
gen2,4,A fluffy teddy bear sits on a bed of soft pillows surrounded by children's toys.,30.52124786,13.92392461,0.30326533,0.833333333
modelscope,4,A fluffy teddy bear sits on a bed of soft pillows surrounded by children's toys.,29.44082642,16.50712299,0.324500326,0.833333333
pika,4,A fluffy teddy bear sits on a bed of soft pillows surrounded by children's toys.,28.62802696,13.79689121,0.442364318,1
zeroscope,4,A fluffy teddy bear sits on a bed of soft pillows surrounded by children's toys.,28.13080406,14.96660686,0.242612264,0.666666667
floor33,5,A peaceful cow grazing in a green field under the clear blue sky,27.8672142,18.61773109,0.259502687,1
gen2,5,A peaceful cow grazing in a green field under the clear blue sky,27.80068016,18.83886464,0.384615385,0.833333333
modelscope,5,A peaceful cow grazing in a green field under the clear blue sky,27.23462296,15.22026682,0.242498769,0.833333333
pika,5,A peaceful cow grazing in a green field under the clear blue sky,21.21513367,11.26709927,0.307692308,0.833333333
zeroscope,5,A peaceful cow grazing in a green field under the clear blue sky,27.23556137,17.73476219,0.161517214,1
floor33,6,unicorn sliding on a rainbow,27.13574219,14.9476037,0.428571429,0.75
gen2,6,unicorn sliding on a rainbow,28.36229897,9.65648671,0.333333333,1
modelscope,6,unicorn sliding on a rainbow,27.4369278,7.074099779,0.5,0.75
pika,6,unicorn sliding on a rainbow,26.02105904,14.65204154,0.428571429,0.75
zeroscope,6,unicorn sliding on a rainbow,27.04678535,16.75477982,0.444444444,0.5
floor33,7,four godzillas,22.27716064,8.744652748,1.40E-16,0.5
gen2,7,four godzillas,23.19184494,8.968919794,3.34E-16,0.5
modelscope,7,four godzillas,23.38488007,4.953104377,1.40E-16,0
pika,7,four godzillas,20.69988441,8.288230631,1.63E-16,0
zeroscope,7,four godzillas,21.995924,7.303350091,1.40E-16,0
floor33,8,"A fluffy grey and white cat is lazily stretched out on a sunny window sill, enjoying a nap after a long day of lounging.",27.90565491,16.30085897,0.147958178,0.857142857
gen2,8,"A fluffy grey and white cat is lazily stretched out on a sunny window sill, enjoying a nap after a long day of lounging.",29.79065323,22.74267658,0.123298482,0.857142857
modelscope,8,"A fluffy grey and white cat is lazily stretched out on a sunny window sill, enjoying a nap after a long day of lounging.",29.79359436,21.47554779,0.172617875,0.571428571
pika,8,"A fluffy grey and white cat is lazily stretched out on a sunny window sill, enjoying a nap after a long day of lounging.",26.09153175,19.15871027,0.139418435,0.714285714
zeroscope,8,"A fluffy grey and white cat is lazily stretched out on a sunny window sill, enjoying a nap after a long day of lounging.",24.07508278,18.01083708,0.125917069,0.857142857
floor33,9,"A curious cat peers from the window, watching the world outside.",24.59616852,14.49539042,0.177941645,1
gen2,9,"A curious cat peers from the window, watching the world outside.",27.91841125,15.13550274,0.144866069,1
modelscope,9,"A curious cat peers from the window, watching the world outside.",21.93850899,17.84510279,0.161348035,1
