data_type,model_type,item_id,source_id,worker_id,question,answer
tifa160,mini-dalle,tifa160_143,partiprompt_366,4375840905,How consistent is the image with the text description?,3
tifa160,mini-dalle,tifa160_143,partiprompt_366,4375843592,How consistent is the image with the text description?,5
tifa160,mini-dalle,tifa160_143,partiprompt_366,4379690288,How consistent is the image with the text description?,5
tifa160,mini-dalle,tifa160_143,partiprompt_366,4387897261,How consistent is the image with the text description?,5
tifa160,mini-dalle,tifa160_143,partiprompt_366,4389767429,How consistent is the image with the text description?,4
tifa160,vq-diffusion,tifa160_120,paintskill_374,4375840905,How consistent is the image with the text description?,5
tifa160,vq-diffusion,tifa160_120,paintskill_374,4375843592,How consistent is the image with the text description?,5
tifa160,vq-diffusion,tifa160_120,paintskill_374,4379690288,How consistent is the image with the text description?,4
tifa160,vq-diffusion,tifa160_120,paintskill_374,4387897261,How consistent is the image with the text description?,5
tifa160,vq-diffusion,tifa160_120,paintskill_374,4389767429,How consistent is the image with the text description?,5
tifa160,vq-diffusion,tifa160_46,coco_54581,4375840905,How consistent is the image with the text description?,5
tifa160,vq-diffusion,tifa160_46,coco_54581,4375843592,How consistent is the image with the text description?,4
tifa160,vq-diffusion,tifa160_46,coco_54581,4379690288,How consistent is the image with the text description?,5
tifa160,vq-diffusion,tifa160_46,coco_54581,4387897261,How consistent is the image with the text description?,4
tifa160,vq-diffusion,tifa160_46,coco_54581,4389767429,How consistent is the image with the text description?,4
tifa160,sd1dot5,tifa160_1,coco_325049,4375840905,How consistent is the image with the text description?,5
tifa160,sd1dot5,tifa160_1,coco_325049,4375843592,How consistent is the image with the text description?,5
tifa160,sd1dot5,tifa160_1,coco_325049,4379690288,How consistent is the image with the text description?,5
tifa160,sd1dot5,tifa160_1,coco_325049,4387897261,How consistent is the image with the text description?,5
tifa160,sd1dot5,tifa160_1,coco_325049,4389767429,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_54,coco_352431,4375840905,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_54,coco_352431,4375843592,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_54,coco_352431,4379690288,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_54,coco_352431,4387897261,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_54,coco_352431,4389767429,How consistent is the image with the text description?,5
tifa160,sd1dot5,tifa160_151,paintskill_229,4375840905,How consistent is the image with the text description?,3
tifa160,sd1dot5,tifa160_151,paintskill_229,4375843592,How consistent is the image with the text description?,3
tifa160,sd1dot5,tifa160_151,paintskill_229,4379690288,How consistent is the image with the text description?,4
tifa160,sd1dot5,tifa160_151,paintskill_229,4387897261,How consistent is the image with the text description?,4
tifa160,sd1dot5,tifa160_151,paintskill_229,4389767429,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_114,partiprompt_598,4375840905,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_114,partiprompt_598,4375843592,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_114,partiprompt_598,4379690288,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_114,partiprompt_598,4387897261,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_114,partiprompt_598,4389767429,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_101,coco_720267,4375840905,How consistent is the image with the text description?,3
tifa160,sd2dot1,tifa160_101,coco_720267,4375843592,How consistent is the image with the text description?,3
tifa160,sd2dot1,tifa160_101,coco_720267,4379690288,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_101,coco_720267,4387897261,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_101,coco_720267,4389767429,How consistent is the image with the text description?,3
tifa160,sd2dot1,tifa160_37,partiprompt_555,4375840905,How consistent is the image with the text description?,2
tifa160,sd2dot1,tifa160_37,partiprompt_555,4375843592,How consistent is the image with the text description?,2
tifa160,sd2dot1,tifa160_37,partiprompt_555,4379690288,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_37,partiprompt_555,4387897261,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_37,partiprompt_555,4389767429,How consistent is the image with the text description?,4
tifa160,sd1dot5,tifa160_94,coco_426642,4375840905,How consistent is the image with the text description?,4
tifa160,sd1dot5,tifa160_94,coco_426642,4375843592,How consistent is the image with the text description?,4
tifa160,sd1dot5,tifa160_94,coco_426642,4379690288,How consistent is the image with the text description?,4
tifa160,sd1dot5,tifa160_94,coco_426642,4387897261,How consistent is the image with the text description?,4
tifa160,sd1dot5,tifa160_94,coco_426642,4389767429,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_73,coco_464482,4375840905,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_73,coco_464482,4375843592,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_73,coco_464482,4379690288,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_73,coco_464482,4387897261,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_73,coco_464482,4389767429,How consistent is the image with the text description?,3
tifa160,sd1dot1,tifa160_131,partiprompt_830,4375840905,How consistent is the image with the text description?,5
tifa160,sd1dot1,tifa160_131,partiprompt_830,4375843592,How consistent is the image with the text description?,5
tifa160,sd1dot1,tifa160_131,partiprompt_830,4379690288,How consistent is the image with the text description?,5
tifa160,sd1dot1,tifa160_131,partiprompt_830,4387897261,How consistent is the image with the text description?,5
tifa160,sd1dot1,tifa160_131,partiprompt_830,4389767429,How consistent is the image with the text description?,5
tifa160,mini-dalle,tifa160_33,partiprompt_1028,4375840905,How consistent is the image with the text description?,4
tifa160,mini-dalle,tifa160_33,partiprompt_1028,4375843592,How consistent is the image with the text description?,4
tifa160,mini-dalle,tifa160_33,partiprompt_1028,4379690288,How consistent is the image with the text description?,4
tifa160,mini-dalle,tifa160_33,partiprompt_1028,4387897261,How consistent is the image with the text description?,4
tifa160,mini-dalle,tifa160_33,partiprompt_1028,4389767429,How consistent is the image with the text description?,4
tifa160,sd1dot1,tifa160_77,coco_511363,4375840905,How consistent is the image with the text description?,1
tifa160,sd1dot1,tifa160_77,coco_511363,4379690288,How consistent is the image with the text description?,1
tifa160,sd1dot1,tifa160_77,coco_511363,4389767429,How consistent is the image with the text description?,1
tifa160,sd2dot1,tifa160_127,paintskill_119,4375840905,How consistent is the image with the text description?,3
tifa160,sd2dot1,tifa160_127,paintskill_119,4375843592,How consistent is the image with the text description?,3
tifa160,sd2dot1,tifa160_127,paintskill_119,4379690288,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_127,paintskill_119,4387897261,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_127,paintskill_119,4389767429,How consistent is the image with the text description?,4
tifa160,sd1dot5,tifa160_51,coco_494204,4375840905,How consistent is the image with the text description?,5
tifa160,sd1dot5,tifa160_51,coco_494204,4375843592,How consistent is the image with the text description?,5
tifa160,sd1dot5,tifa160_51,coco_494204,4379690288,How consistent is the image with the text description?,5
tifa160,sd1dot5,tifa160_51,coco_494204,4387897261,How consistent is the image with the text description?,5
tifa160,sd1dot5,tifa160_51,coco_494204,4389767429,How consistent is the image with the text description?,5
tifa160,vq-diffusion,tifa160_14,coco_573015,4375840905,How consistent is the image with the text description?,3
tifa160,vq-diffusion,tifa160_14,coco_573015,4375843592,How consistent is the image with the text description?,3
tifa160,vq-diffusion,tifa160_14,coco_573015,4379690288,How consistent is the image with the text description?,4
tifa160,vq-diffusion,tifa160_14,coco_573015,4387897261,How consistent is the image with the text description?,4
tifa160,vq-diffusion,tifa160_14,coco_573015,4389767429,How consistent is the image with the text description?,3
tifa160,mini-dalle,tifa160_124,paintskill_241,4375840905,How consistent is the image with the text description?,3
tifa160,mini-dalle,tifa160_124,paintskill_241,4375843592,How consistent is the image with the text description?,3
tifa160,mini-dalle,tifa160_124,paintskill_241,4379690288,How consistent is the image with the text description?,3
tifa160,mini-dalle,tifa160_124,paintskill_241,4387897261,How consistent is the image with the text description?,2
tifa160,mini-dalle,tifa160_124,paintskill_241,4389767429,How consistent is the image with the text description?,3
tifa160,sd1dot1,tifa160_143,partiprompt_366,4375840905,How consistent is the image with the text description?,5
tifa160,sd1dot1,tifa160_143,partiprompt_366,4375843592,How consistent is the image with the text description?,5
tifa160,sd1dot1,tifa160_143,partiprompt_366,4379690288,How consistent is the image with the text description?,4
tifa160,sd1dot1,tifa160_143,partiprompt_366,4387897261,How consistent is the image with the text description?,5
tifa160,sd1dot1,tifa160_143,partiprompt_366,4389767429,How consistent is the image with the text description?,5
tifa160,sd1dot1,tifa160_60,coco_661609,4375840905,How consistent is the image with the text description?,3
tifa160,sd1dot1,tifa160_60,coco_661609,4375843592,How consistent is the image with the text description?,4
tifa160,sd1dot1,tifa160_60,coco_661609,4379690288,How consistent is the image with the text description?,4
tifa160,sd1dot1,tifa160_60,coco_661609,4387897261,How consistent is the image with the text description?,3
tifa160,sd1dot1,tifa160_60,coco_661609,4389767429,How consistent is the image with the text description?,4
tifa160,sd1dot1,tifa160_122,partiprompt_611,4375840905,How consistent is the image with the text description?,4
tifa160,sd1dot1,tifa160_122,partiprompt_611,4375843592,How consistent is the image with the text description?,4
tifa160,sd1dot1,tifa160_122,partiprompt_611,4379690288,How consistent is the image with the text description?,4
tifa160,sd1dot1,tifa160_122,partiprompt_611,4387897261,How consistent is the image with the text description?,5
tifa160,sd1dot1,tifa160_122,partiprompt_611,4389767429,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_80,coco_653095,4375840905,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_80,coco_653095,4375843592,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_80,coco_653095,4379690288,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_80,coco_653095,4387897261,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_80,coco_653095,4389767429,How consistent is the image with the text description?,5
tifa160,mini-dalle,tifa160_5,coco_152829,4375840905,How consistent is the image with the text description?,5
tifa160,mini-dalle,tifa160_5,coco_152829,4375843592,How consistent is the image with the text description?,5
tifa160,mini-dalle,tifa160_5,coco_152829,4379690288,How consistent is the image with the text description?,5
tifa160,mini-dalle,tifa160_5,coco_152829,4387897261,How consistent is the image with the text description?,5
tifa160,mini-dalle,tifa160_5,coco_152829,4389767429,How consistent is the image with the text description?,5
tifa160,vq-diffusion,tifa160_113,paintskill_409,4375840905,How consistent is the image with the text description?,4
tifa160,vq-diffusion,tifa160_113,paintskill_409,4375843592,How consistent is the image with the text description?,4
tifa160,vq-diffusion,tifa160_113,paintskill_409,4379690288,How consistent is the image with the text description?,4
tifa160,vq-diffusion,tifa160_113,paintskill_409,4387897261,How consistent is the image with the text description?,5
tifa160,vq-diffusion,tifa160_113,paintskill_409,4389767429,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_61,coco_828568,4375840905,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_61,coco_828568,4375843592,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_61,coco_828568,4379690288,How consistent is the image with the text description?,3
tifa160,sd2dot1,tifa160_61,coco_828568,4387897261,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_61,coco_828568,4389767429,How consistent is the image with the text description?,4
tifa160,sd1dot5,tifa160_123,drawbench_107,4375840905,How consistent is the image with the text description?,3
tifa160,sd1dot5,tifa160_123,drawbench_107,4375843592,How consistent is the image with the text description?,3
tifa160,sd1dot5,tifa160_123,drawbench_107,4379690288,How consistent is the image with the text description?,2
tifa160,sd1dot5,tifa160_123,drawbench_107,4387897261,How consistent is the image with the text description?,2
tifa160,sd1dot5,tifa160_123,drawbench_107,4389767429,How consistent is the image with the text description?,3
tifa160,mini-dalle,tifa160_151,paintskill_229,4375840905,How consistent is the image with the text description?,2
tifa160,mini-dalle,tifa160_151,paintskill_229,4375843592,How consistent is the image with the text description?,2
tifa160,mini-dalle,tifa160_151,paintskill_229,4379690288,How consistent is the image with the text description?,2
tifa160,mini-dalle,tifa160_151,paintskill_229,4387897261,How consistent is the image with the text description?,3
tifa160,mini-dalle,tifa160_151,paintskill_229,4389767429,How consistent is the image with the text description?,3
tifa160,sd1dot1,tifa160_128,partiprompt_869,4375840905,How consistent is the image with the text description?,2
tifa160,sd1dot1,tifa160_128,partiprompt_869,4375843592,How consistent is the image with the text description?,2
tifa160,sd1dot1,tifa160_128,partiprompt_869,4379690288,How consistent is the image with the text description?,3
tifa160,sd1dot1,tifa160_128,partiprompt_869,4387897261,How consistent is the image with the text description?,2
tifa160,sd1dot1,tifa160_128,partiprompt_869,4389767429,How consistent is the image with the text description?,2
tifa160,sd2dot1,tifa160_30,partiprompt_76,4375840905,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_30,partiprompt_76,4375843592,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_30,partiprompt_76,4379690288,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_30,partiprompt_76,4387897261,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_30,partiprompt_76,4389767429,How consistent is the image with the text description?,5
tifa160,sd1dot1,tifa160_13,coco_655658,4375840905,How consistent is the image with the text description?,4
tifa160,sd1dot1,tifa160_13,coco_655658,4375843592,How consistent is the image with the text description?,4
tifa160,sd1dot1,tifa160_13,coco_655658,4379690288,How consistent is the image with the text description?,4
tifa160,sd1dot1,tifa160_13,coco_655658,4387897261,How consistent is the image with the text description?,4
tifa160,sd1dot1,tifa160_13,coco_655658,4389767429,How consistent is the image with the text description?,5
tifa160,sd1dot5,tifa160_69,coco_463732,4375840905,How consistent is the image with the text description?,4
tifa160,sd1dot5,tifa160_69,coco_463732,4375843592,How consistent is the image with the text description?,4
tifa160,sd1dot5,tifa160_69,coco_463732,4379690288,How consistent is the image with the text description?,4
tifa160,sd1dot5,tifa160_69,coco_463732,4387897261,How consistent is the image with the text description?,4
tifa160,sd1dot5,tifa160_69,coco_463732,4389767429,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_136,partiprompt_632,4375840905,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_136,partiprompt_632,4375843592,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_136,partiprompt_632,4379690288,How consistent is the image with the text description?,4
tifa160,sd2dot1,tifa160_136,partiprompt_632,4387897261,How consistent is the image with the text description?,5
tifa160,sd2dot1,tifa160_136,partiprompt_632,4389767429,How consistent is the image with the text description?,5
tifa160,sd1dot5,tifa160_147,partiprompt_1086,4375840905,How consistent is the image with the text description?,5
tifa160,sd1dot5,tifa160_147,partiprompt_1086,4375843592,How consistent is the image with the text description?,5
tifa160,sd1dot5,tifa160_147,partiprompt_1086,4379690288,How consistent is the image with the text description?,5
